,id,title,time_type_full_or_part,duration_of_cooperation,location_hybrid,company_url,company_name
0,1,Search Engine Optimization Specialist,Pixune · Freelance,Jul 2022 - Present · 2 yrs 1 mo,Poland · Remote,https://www.linkedin.com/search/results/all/?keywords=Pixune,
1,2,Search Engine Optimization Manager,Cofinfo · Self-employed,Dec 2022 - Present · 1 yr 8 mos,,https://www.linkedin.com/search/results/all/?keywords=Cofinfo,
2,3,Search Engine Optimization Specialist,Karnakon · Full-time,Dec 2020 - Aug 2022 · 1 yr 9 mos,"Tehran, Iran",https://www.linkedin.com/search/results/all/?keywords=Karnakon,
3,4,Trader,Forex Trading Online · Apprenticeship,Apr 2020 - Present · 4 yrs 4 mos,,https://www.linkedin.com/company/18372839/,Forex Trading Online
4,5,In personal marketing,Home Design Decoration ideas · Part-time,Jan 2018 - Present · 6 yrs 7 mos,"Shiraz County, Fars, Iran",https://www.linkedin.com/company/13660967/,Home Design Decoration ideas
5,6,Network Engineer,SABANET,Feb 2008 - Jul 2017 · 9 yrs 6 mos,"Shiraz County, Fars, Iran",https://www.linkedin.com/search/results/all/?keywords=SABANET,
6,7,Content Marketer,Bonmano · Full-time,Jan 2023 - Present · 1 yr 7 mos,"Tehran, Tehran Province, Iran · On-site",https://www.linkedin.com/company/18814649/,Bonmano
7,8,Content Marketer,Movasagh Group · Full-time,Jan 2023 - Present · 1 yr 7 mos,"Tehran, Tehran Province, Iran · On-site",https://www.linkedin.com/company/103225546/,Movasagh Group
8,9,Senior Content Marketing Specialist & Copywriter,Pakshoma group · Full-time,Nov 2022 - Dec 2022 · 2 mos,"Tehran, Tehran Province, Iran",https://www.linkedin.com/company/10628459/,P.I.B
9,10,Content Manager,DRIZZLE HOME · Full-time,May 2021 - Nov 2022 · 1 yr 7 mos,"Tehran, Tehran, Iran",https://www.linkedin.com/company/68724183/,DRIZZLE HOME
10,11,Content Specialist,Behsakht Civilized & Development Group · Full-time,Apr 2020 - Mar 2021 · 1 yr,,https://www.linkedin.com/company/22338423/,Behsakht Civilized & Development Group
11,12,Chidaneh,Full-time · 2 yrs 8 mos,,,https://www.linkedin.com/company/3599502/,Chidaneh
12,13,Legal Affairs Specialist,موسسه حقوقی فردا · Full-time,Apr 2016 - Sep 2017 · 1 yr 6 mos,"Tehran, Tehran Province, Iran",https://www.linkedin.com/company/6652068/,موسسه حقوقی فردا
13,14,Search Engine Optimization Specialist,Pixune · Freelance,Jul 2022 - Present · 2 yrs 1 mo,Poland · Remote,https://www.linkedin.com/search/results/all/?keywords=Pixune,
14,15,Search Engine Optimization Manager,Cofinfo · Self-employed,Dec 2022 - Present · 1 yr 8 mos,,https://www.linkedin.com/search/results/all/?keywords=Cofinfo,
15,16,Search Engine Optimization Specialist,Karnakon · Full-time,Dec 2020 - Aug 2022 · 1 yr 9 mos,"Tehran, Iran",https://www.linkedin.com/search/results/all/?keywords=Karnakon,
16,17,Trader,Forex Trading Online · Apprenticeship,Apr 2020 - Present · 4 yrs 4 mos,,https://www.linkedin.com/company/18372839/,Forex Trading Online
17,18,In personal marketing,Home Design Decoration ideas · Part-time,Jan 2018 - Present · 6 yrs 7 mos,"Shiraz County, Fars, Iran",https://www.linkedin.com/company/13660967/,Home Design Decoration ideas
18,19,Network Engineer,SABANET,Feb 2008 - Jul 2017 · 9 yrs 6 mos,"Shiraz County, Fars, Iran",https://www.linkedin.com/search/results/all/?keywords=SABANET,
19,20,Content Marketer,Bonmano · Full-time,Jan 2023 - Present · 1 yr 7 mos,"Tehran, Tehran Province, Iran · On-site",https://www.linkedin.com/company/18814649/,Bonmano
20,21,Content Marketer,Movasagh Group · Full-time,Jan 2023 - Present · 1 yr 7 mos,"Tehran, Tehran Province, Iran · On-site",https://www.linkedin.com/company/103225546/,Movasagh Group
21,22,Senior Content Marketing Specialist & Copywriter,Pakshoma group · Full-time,Nov 2022 - Dec 2022 · 2 mos,"Tehran, Tehran Province, Iran",https://www.linkedin.com/company/10628459/,P.I.B
22,23,Content Manager,DRIZZLE HOME · Full-time,May 2021 - Nov 2022 · 1 yr 7 mos,"Tehran, Tehran, Iran",https://www.linkedin.com/company/68724183/,DRIZZLE HOME
23,24,Content Specialist,Behsakht Civilized & Development Group · Full-time,Apr 2020 - Mar 2021 · 1 yr,,https://www.linkedin.com/company/22338423/,Behsakht Civilized & Development Group
24,25,Chidaneh,Full-time · 2 yrs 8 mos,,,https://www.linkedin.com/company/3599502/,Chidaneh
